2-MethoxyBA,2-BromoBA,2-HydroxyBA,2-EthoxyBA,Control
9000,9000,5070,9000,145
9000,4140,4890,9000,290
9000,8040,3690,9000,600
383,1995,863,9000,473
9000,2342,1513,376,55
2300,1155,758,9000,649
998,4722,2752,9000,1107
1056,3945,9000,9000,204
9000,9000,573,699,182
472,1963,2819,184,89
2548,4851,9000,2680,4847
4847,4405,3592,5694,1925
9000,1693,935,147,318
9000,9000,9000,2485,162
9000,3339,9000,126,3175
9000,3659,3661,4316,81
9000,363,237,168,107
2187,4620,9000,2430,80
9000,5007,153,296,259
9000,9000,2813,163,1386
